City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tual,ID,-5.6667,132.75,79.23,78,99,23.35,overcast clouds
1,Vaini,TO,-21.2,-175.2,78.96,94,52,8.05,broken clouds
2,Makaryev,RU,57.8797,43.8069,59.58,94,81,5.79,broken clouds
3,Praia,CV,14.9215,-23.5087,75.74,73,40,13.8,scattered clouds
4,Bredasdorp,ZA,-34.5322,20.0403,51.33,83,35,2.13,scattered clouds
5,Marsh Harbour,BS,26.5412,-77.0636,83.25,64,7,11.5,clear sky
6,Dikson,RU,73.5069,80.5464,41.86,77,32,9.95,scattered clouds
7,Moskovskiy,RU,55.5991,37.355,62.58,91,75,7.0,light rain
8,Torbay,CA,47.6666,-52.7314,61.88,80,75,11.5,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,50.81,83,11,5.08,few clouds
10,Atuona,PF,-9.8,-139.0333,77.81,68,9,15.19,clear sky
11,Kapoeta,SS,4.7717,33.5903,72.37,83,99,6.17,overcast clouds
12,Chengde,CN,40.9725,117.9361,67.64,56,46,4.21,scattered clouds
13,Viedma,AR,-40.8135,-62.9967,48.24,83,100,17.65,moderate rain
14,Hobart,AU,-42.8794,147.3294,44.06,95,75,2.3,fog
15,Rincon,US,32.296,-81.2354,89.56,66,75,10.36,thunderstorm
16,Port Elizabeth,ZA,-33.918,25.5701,56.32,77,0,11.5,clear sky
17,Ushuaia,AR,-54.8,-68.3,28.06,80,0,3.44,clear sky
18,Tonj,SS,7.2737,28.6822,69.96,92,100,1.3,overcast clouds
19,Isangel,VU,-19.55,169.2667,75.31,94,100,9.22,overcast clouds
20,Albany,US,42.6001,-73.9662,81.05,52,77,1.01,broken clouds
21,Gold Coast,AU,-28.0,153.4333,57.27,58,1,10.36,clear sky
22,Rikitea,PF,-23.1203,-134.9692,67.86,76,100,5.53,overcast clouds
23,Chuy,UY,-33.6971,-53.4616,56.32,97,79,10.47,moderate rain
24,Maxixe,MZ,-23.8597,35.3472,64.81,70,0,5.28,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,33.91,93,75,2.3,broken clouds
26,Mataura,NZ,-46.1927,168.8643,37.47,99,100,2.8,overcast clouds
27,Gimli,CA,50.6336,-96.9907,71.62,78,100,14.97,overcast clouds
28,Hasaki,JP,35.7333,140.8333,75.29,87,90,9.22,overcast clouds
29,Bathsheba,BB,13.2167,-59.5167,86.61,94,40,19.57,scattered clouds
30,Sitka,US,57.0531,-135.33,62.49,55,75,14.97,broken clouds
31,Cabo Rojo,PR,18.0866,-67.1457,84.88,73,70,5.99,broken clouds
32,Plettenberg Bay,ZA,-34.0527,23.3716,55.13,84,74,3.85,broken clouds
33,Sobolevo,RU,54.4299,31.8996,54.01,94,52,7.54,broken clouds
34,Padang,ID,-0.9492,100.3543,76.55,84,100,4.23,overcast clouds
35,Zapolyarnyy,RU,69.4154,30.8136,60.08,92,87,7.85,overcast clouds
36,Pangnirtung,CA,66.1451,-65.7125,50.0,76,20,5.75,few clouds
37,Provideniya,RU,64.3833,-173.3,55.51,62,0,15.99,clear sky
38,Mar Del Plata,AR,-38.0023,-57.5575,54.09,96,100,11.5,drizzle
39,Hilo,US,19.7297,-155.09,87.28,75,20,5.75,few clouds
40,Clyde River,CA,70.4692,-68.5914,50.23,71,0,6.91,clear sky
41,Kaitangata,NZ,-46.2817,169.8464,39.31,95,100,6.96,light rain
42,Hambantota,LK,6.1241,81.1185,77.34,100,20,5.75,few clouds
43,Longyan,CN,25.1072,117.0225,76.84,90,100,2.26,overcast clouds
44,Hithadhoo,MV,-0.6,73.0833,83.08,75,100,13.98,overcast clouds
45,Busselton,AU,-33.65,115.3333,58.53,75,64,13.53,broken clouds
46,Evensk,RU,61.95,159.2333,71.42,48,39,12.33,scattered clouds
47,Begoro,GH,6.3871,-0.3774,69.22,97,67,4.94,broken clouds
48,Oum Hadjer,TD,13.2954,19.6966,79.09,75,97,8.99,light rain
49,Saldanha,ZA,-33.0117,17.9442,48.25,86,1,10.92,clear sky
50,Ponta Do Sol,PT,32.6667,-17.1,73.0,72,27,5.99,scattered clouds
51,Port Hedland,AU,-20.3167,118.5667,50.05,87,44,8.05,scattered clouds
52,Mezhdurechensk,RU,53.6942,88.0603,49.91,78,100,1.97,overcast clouds
53,San Patricio,US,28.017,-97.5169,97.52,42,20,18.21,few clouds
54,Creel,MX,27.75,-107.6333,78.67,26,28,15.35,scattered clouds
55,Jamestown,US,42.097,-79.2353,76.95,46,40,4.61,scattered clouds
56,Amatan,MX,17.35,-92.75,77.97,92,100,1.83,overcast clouds
57,Najran,SA,17.4924,44.1277,86.65,24,97,1.81,overcast clouds
58,Nanortalik,GL,60.1432,-45.2371,46.29,78,100,1.95,overcast clouds
59,Airai,TL,-8.9266,125.4092,53.85,88,22,3.96,few clouds
60,Thompson,CA,55.7435,-97.8558,75.36,57,75,8.05,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,58.37,83,10,5.01,clear sky
62,Monrovia,LR,6.3005,-10.7969,76.77,84,100,11.77,overcast clouds
63,Antalaha,MG,-14.9003,50.2788,66.0,86,55,6.55,light rain
64,Molochnoye,RU,59.2917,39.6787,57.4,80,74,3.47,broken clouds
65,Hamilton,US,39.1834,-84.5333,87.01,44,40,10.36,scattered clouds
66,Saint Anthony,US,45.0205,-93.218,87.91,57,0,14.97,clear sky
67,New Norfolk,AU,-42.7826,147.0587,43.72,90,92,2.1,overcast clouds
68,Ipora,BR,-16.4419,-51.1178,75.47,34,79,3.22,broken clouds
69,Ruteng,ID,-8.6136,120.4721,58.28,90,13,1.63,few clouds
70,Uruguaiana,BR,-29.7547,-57.0883,67.93,88,40,14.97,scattered clouds
71,Ikalamavony,MG,-21.15,46.5833,54.1,91,14,4.76,few clouds
72,Viesca,MX,25.35,-102.8,94.44,18,8,18.23,clear sky
73,Denpasar,ID,-8.65,115.2167,78.46,88,40,11.5,scattered clouds
74,Broome,US,42.2506,-75.833,77.7,57,20,8.05,few clouds
75,Sa Kaeo,TH,13.75,102.3333,73.92,96,62,5.39,broken clouds
76,Upata,VE,8.0086,-62.3989,75.09,89,51,3.67,broken clouds
77,Rawson,AR,-43.3002,-65.1023,44.56,71,100,16.28,overcast clouds
78,Yuzhnouralsk,RU,54.4418,61.2536,67.71,83,100,5.55,overcast clouds
79,Bad Frankenhausen,DE,51.35,11.1,62.01,53,3,5.55,clear sky
80,Korla,CN,41.7597,86.1469,72.09,47,46,4.34,scattered clouds
81,Severo-Kurilsk,RU,50.6789,156.125,54.86,93,79,10.74,broken clouds
82,Tete,MZ,-16.1564,33.5867,71.69,56,75,0.0,broken clouds
83,Upernavik,GL,72.7868,-56.1549,39.61,89,16,13.53,few clouds
84,Nsanje,MW,-16.92,35.262,63.14,77,9,3.02,clear sky
85,Nyurba,RU,63.2842,118.3319,65.86,82,42,5.79,scattered clouds
86,Paamiut,GL,61.994,-49.6678,41.97,97,100,3.42,light rain
87,Rio Grande,BR,-32.035,-52.0986,59.11,99,100,16.6,moderate rain
88,Saint-Philippe,RE,-21.3585,55.7679,65.21,80,72,9.1,light rain
89,Ribeira Grande,PT,38.5167,-28.7,70.77,92,88,12.64,overcast clouds
90,Mopipi,BW,-21.1833,24.8833,56.7,36,2,6.15,clear sky
91,Tsotilion,GR,40.2667,21.3167,66.02,49,0,3.74,clear sky
92,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,88,20,2.24,few clouds
93,Port Alfred,ZA,-33.5906,26.891,57.06,81,15,12.77,few clouds
94,Aswan,EG,24.0934,32.907,88.9,16,0,17.27,clear sky
95,Muros,ES,42.7762,-9.0603,80.17,77,100,6.2,overcast clouds
96,Avarua,CK,-21.2078,-159.775,77.05,65,75,6.91,broken clouds
97,Saint Andrews,US,34.0454,-81.1293,87.13,77,100,8.05,overcast clouds
98,Khatanga,RU,71.9667,102.5,45.23,82,100,3.49,overcast clouds
99,Severobaykalsk,RU,55.65,109.3167,51.96,97,100,3.71,light rain
100,Barrow,US,71.2906,-156.7887,33.82,80,100,9.22,overcast clouds
101,Williams Lake,CA,52.1415,-122.1445,77.05,37,100,4.61,overcast clouds
102,Izazi,TZ,-7.2,35.7333,66.15,73,3,3.78,clear sky
103,Ust-Kulom,RU,61.6864,53.6902,63.41,99,91,2.84,light rain
104,Mushie,CD,-3.0167,16.9,77.7,41,21,3.51,few clouds
105,Chokurdakh,RU,70.6333,147.9167,54.72,58,88,7.14,overcast clouds
106,Bannu,PK,32.9854,70.6027,83.66,56,97,3.22,overcast clouds
107,Makat,KZ,47.6469,53.3463,89.06,22,78,10.29,broken clouds
108,Gizo,SB,-8.103,156.8419,82.15,71,33,9.44,scattered clouds
109,Balkhash,KZ,46.844,74.9804,73.53,36,0,8.37,clear sky
110,Hirara,JP,24.8,125.2833,84.87,85,100,14.52,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,55.24,71,75,16.11,broken clouds
112,Sept-Iles,CA,50.2001,-66.3821,70.32,60,75,6.91,broken clouds
113,Dalvik,IS,65.9702,-18.5286,51.73,82,77,3.29,broken clouds
114,Kahului,US,20.8947,-156.47,86.02,64,40,21.85,scattered clouds
115,Dingle,PH,10.9995,122.6711,75.97,91,81,1.63,broken clouds
116,Djibo,BF,14.1022,-1.6306,92.55,34,16,4.9,light rain
117,Muisne,EC,0.6,-80.0333,75.51,83,98,9.75,overcast clouds
118,Mpulungu,ZM,-8.7623,31.1141,70.68,46,0,8.21,clear sky
119,Ngunguru,NZ,-35.6167,174.5,56.03,81,100,7.99,overcast clouds
120,Lakes Entrance,AU,-37.8811,147.981,45.16,80,9,7.56,clear sky
