City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Quintin,MX,2022-07-14 15:56:32,30.4833,-115.95,69.37,74,79,7.72
1,Naryan-Mar,RU,2022-07-14 15:57:53,67.6713,53.087,79.34,57,8,8.77
2,Rikitea,PF,2022-07-14 15:57:54,-23.1203,-134.9692,65.77,88,100,6.62
3,Evensk,RU,2022-07-14 15:57:54,61.95,159.2333,62.28,71,19,11.86
4,Butaritari,KI,2022-07-14 15:54:25,3.0707,172.7902,81.36,81,69,17.4
5,Cayenne,GF,2022-07-14 15:54:20,4.9333,-52.3333,86.04,1,75,6.91
6,Dingle,PH,2022-07-14 15:57:55,10.9995,122.6711,76.14,92,44,1.68
7,Kamenka,RU,2022-07-14 15:57:55,51.3223,42.7678,60.94,82,98,4.61
8,Punta Arenas,CL,2022-07-14 15:57:56,-53.15,-70.9167,33.91,93,75,5.75
9,Vaini,TO,2022-07-14 15:57:56,-21.2,-175.2,75.36,100,2,9.22
10,Pemangkat,ID,2022-07-14 15:57:57,1.1667,108.9667,79.57,76,88,3.36
11,Pamanukan,ID,2022-07-14 15:57:57,-6.2842,107.8106,77.0,90,83,7.87
12,Staryy Nadym,RU,2022-07-14 15:57:57,65.6118,72.6842,65.41,57,94,8.88
13,Clyde River,CA,2022-07-14 15:57:58,70.4692,-68.5914,44.83,76,0,8.05
14,Kapaa,US,2022-07-14 15:57:58,22.0752,-159.319,77.32,88,40,16.11
15,Cape Town,ZA,2022-07-14 15:57:59,-33.9258,18.4232,61.21,76,75,5.75
16,Busselton,AU,2022-07-14 15:57:59,-33.65,115.3333,59.63,73,83,20.85
17,Khatanga,RU,2022-07-14 15:55:43,71.9667,102.5,42.6,91,100,4.7
18,Kodiak,US,2022-07-14 15:57:54,57.79,-152.4072,54.34,86,100,3.85
19,Tiksi,RU,2022-07-14 15:58:00,71.6872,128.8694,41.32,90,88,3.49
20,Bathsheba,BB,2022-07-14 15:58:00,13.2167,-59.5167,87.04,81,75,16.11
21,Walvis Bay,NA,2022-07-14 15:58:01,-22.9575,14.5053,60.1,57,1,14.54
22,Leningradskiy,RU,2022-07-14 15:57:05,69.3833,178.4167,33.69,83,100,10.27
23,Tasiilaq,GL,2022-07-14 15:58:01,65.6145,-37.6368,41.79,70,42,5.64
24,Blackwater,AU,2022-07-14 15:58:02,-23.5833,148.8833,46.31,63,0,7.78
25,Hithadhoo,MV,2022-07-14 15:56:48,-0.6,73.0833,83.62,74,100,15.19
26,Albany,US,2022-07-14 15:54:23,42.6001,-73.9662,78.58,62,6,6.35
27,Goderich,CA,2022-07-14 15:58:03,43.7501,-81.7165,68.92,77,2,5.75
28,Korla,CN,2022-07-14 15:58:03,41.7597,86.1469,78.35,34,81,8.93
29,Barrow,US,2022-07-14 15:58:04,71.2906,-156.7887,33.82,80,100,8.05
30,Laguna,US,2022-07-14 15:54:12,38.421,-121.4238,82.09,68,0,3.0
31,New Norfolk,AU,2022-07-14 15:54:26,-42.7826,147.0587,45.72,90,41,2.33
32,Mataura,NZ,2022-07-14 15:54:34,-46.1927,168.8643,35.47,98,97,1.7
33,Guilin,CN,2022-07-14 15:58:05,25.2819,110.2864,80.71,81,100,0.36
34,Touros,BR,2022-07-14 15:58:05,-5.1989,-35.4608,80.01,78,40,16.8
35,Hilo,US,2022-07-14 15:55:38,19.7297,-155.09,73.62,94,31,4.0
36,Fort Smith,US,2022-07-14 15:54:04,35.3859,-94.3986,92.37,59,0,5.01
37,Grande Prairie,CA,2022-07-14 15:55:01,55.1667,-118.8027,55.58,71,75,6.91
38,Avarua,CK,2022-07-14 15:58:06,-21.2078,-159.775,73.45,68,100,6.91
39,Kruisfontein,ZA,2022-07-14 15:58:07,-34.0033,24.7314,55.89,85,26,11.03
40,Saint-Joseph,RE,2022-07-14 15:58:07,-21.3667,55.6167,70.18,79,56,10.27
41,Santa Maria,BR,2022-07-14 15:56:28,-29.6842,-53.8069,54.7,100,75,8.05
42,Dikson,RU,2022-07-14 15:58:08,73.5069,80.5464,42.28,75,9,12.39
43,Aswan,EG,2022-07-14 15:58:09,24.0934,32.907,105.1,14,0,12.66
44,Hobart,AU,2022-07-14 15:54:30,-42.8794,147.3294,46.06,96,75,4.61
45,Lata,PT,2022-07-14 15:58:09,40.1629,-8.3327,93.49,39,67,9.6
46,Bethel,US,2022-07-14 15:58:10,41.3712,-73.414,83.73,71,3,4.32
47,Tieli,CN,2022-07-14 15:59:10,46.95,128.05,68.31,79,100,10.83
48,Jamestown,US,2022-07-14 15:59:11,42.097,-79.2353,74.95,61,3,4.0
49,Port Macquarie,AU,2022-07-14 15:59:11,-31.4333,152.9167,50.9,85,57,12.8
50,Provideniya,RU,2022-07-14 15:59:12,64.3833,-173.3,51.58,61,100,6.13
51,Atuona,PF,2022-07-14 15:55:47,-9.8,-139.0333,77.54,68,27,17.13
52,Carnarvon,AU,2022-07-14 15:59:12,-24.8667,113.6333,67.93,82,6,10.67
53,Victoria,HK,2022-07-14 15:57:47,22.2855,114.1577,87.19,81,99,5.01
54,Bredasdorp,ZA,2022-07-14 15:57:54,-34.5322,20.0403,53.58,80,71,5.7
55,Atar,MR,2022-07-14 15:59:13,20.5169,-13.0499,107.74,17,20,9.69
56,Georgetown,MY,2022-07-14 15:54:22,5.4112,100.3354,83.89,90,20,0.0
57,Paidha,UG,2022-07-14 15:59:14,2.4167,30.9855,72.34,45,65,3.22
58,Tual,ID,2022-07-14 15:59:14,-5.6667,132.75,78.26,81,100,21.21
59,El Alto,PE,2022-07-14 15:59:15,-4.2714,-81.2147,65.86,60,30,12.84
60,Ushuaia,AR,2022-07-14 15:57:26,-54.8,-68.3,31.62,80,20,3.44
61,Beloha,MG,2022-07-14 15:59:15,-25.1667,45.05,66.02,77,0,5.68
62,Luohe,CN,2022-07-14 15:59:16,33.5717,114.0353,82.24,88,99,6.82
63,Polignano A Mare,IT,2022-07-14 15:59:16,40.9959,17.2159,87.67,51,0,7.49
64,Iqaluit,CA,2022-07-14 15:58:10,63.7506,-68.5145,46.13,81,40,5.75
65,Arraial Do Cabo,BR,2022-07-14 15:55:33,-22.9661,-42.0278,78.76,73,40,14.97
66,San-Pedro,CI,2022-07-14 15:59:17,4.7485,-6.6363,77.4,79,100,9.22
67,Talnakh,RU,2022-07-14 15:59:18,69.4865,88.3972,58.21,63,100,3.42
68,Ilulissat,GL,2022-07-14 15:59:18,69.2167,-51.1,44.2,53,5,8.37
69,Havre-Saint-Pierre,CA,2022-07-14 15:59:18,50.2334,-63.5986,66.56,59,0,10.36
70,Candelaria,PH,2022-07-14 15:59:19,13.9311,121.4233,78.39,94,58,1.7
71,Sao Filipe,CV,2022-07-14 15:59:19,14.8961,-24.4956,76.46,72,16,14.81
72,Richards Bay,ZA,2022-07-14 15:59:20,-28.783,32.0377,68.05,62,0,10.85
73,Lavrentiya,RU,2022-07-14 15:59:20,65.5833,-171.0,48.34,70,100,4.99
74,Lompoc,US,2022-07-14 15:59:21,34.6391,-120.4579,63.93,73,91,3.0
75,Airai,TL,2022-07-14 15:59:21,-8.9266,125.4092,54.36,89,51,2.71
76,Buraydah,SA,2022-07-14 15:59:22,26.326,43.975,108.05,10,71,10.13
77,East London,ZA,2022-07-14 15:59:23,-33.0153,27.9116,63.54,63,0,13.8
78,Tautira,PF,2022-07-14 15:59:23,-17.7333,-149.15,75.7,62,97,21.23
79,Rocha,UY,2022-07-14 15:59:23,-34.4833,-54.3333,61.23,78,68,12.66
80,Odienne,CI,2022-07-14 15:59:24,9.51,-7.5692,85.03,63,100,3.87
81,Ponta Do Sol,PT,2022-07-14 15:59:24,32.6667,-17.1,80.71,61,3,8.03
82,Nikolskoye,RU,2022-07-14 15:59:25,59.7035,30.7861,62.49,88,74,6.62
